date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:30	2864/2864	---MCZ	200	added ('OK')	application/json	date:Mon,%2022%20Feb%202021%2015:59:30%20GMT	https://eletivafis.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Feletivafis.com.br%2Fsuper-cavalo-funciona%2F	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/wp-json/oembed/1.0/embed4f20.json	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:31	3009/3009	---MCZ	200	added ('OK')	text/xml	date:Mon,%2022%20Feb%202021%2015:59:32%20GMT	https://eletivafis.com.br/wp-json/oembed/1.0/embed?url=https%3A%2F%2Feletivafis.com.br%2Fsuper-cavalo-funciona%2F&format=xml	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/wp-json/oembed/1.0/embed6ffb	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:31	22122/22122	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2021%20Feb%202020%2014:05:49%20GMT	https://eletivafis.com.br/xmlrpc.php	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/xmlrpc.php	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:31	1564/1564	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202020%2018:31:07%20GMT	https://eletivafis.com.br/storage/2020/06/cropped-iconl-32x32.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/06/cropped-iconl-32x32.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:32	17097/17097	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202020%2018:31:07%20GMT	https://eletivafis.com.br/storage/2020/06/cropped-iconl-192x192.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/06/cropped-iconl-192x192.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:32	15486/15486	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202020%2018:31:07%20GMT	https://eletivafis.com.br/storage/2020/06/cropped-iconl-180x180.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/06/cropped-iconl-180x180.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:32	5870/5870	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Jun%202020%2018:31:18%20GMT	https://eletivafis.com.br/storage/2020/05/cropped-eletivafislogo-2-150x50.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/05/cropped-eletivafislogo-2-150x50.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:33	262996/262996	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Aug%202020%2013:57:17%20GMT	https://eletivafis.com.br/storage/2020/08/Pau-de-Cavalo.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/08/Pau-de-Cavalo.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:33	26823/26823	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Aug%202020%2013:57:18%20GMT	https://eletivafis.com.br/storage/2020/08/Pau-de-Cavalo-150x150.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/08/Pau-de-Cavalo-150x150.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:33	31392/31392	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Aug%202020%2014:26:58%20GMT	https://eletivafis.com.br/storage/2020/08/Foto-Depoimento-1.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/08/Foto-Depoimento-1.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:33	29694/29694	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Aug%202020%2014:27:00%20GMT	https://eletivafis.com.br/storage/2020/08/Foto-Depoimento-2.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/08/Foto-Depoimento-2.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:33	28935/28935	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Aug%202020%2014:27:03%20GMT	https://eletivafis.com.br/storage/2020/08/Foto-Depoimento-3.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/08/Foto-Depoimento-3.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:33	8449/8449	---M--	200	added ('OK')	image/png	date:Tue,%2012%20May%202020%2015:29:14%20GMT	https://eletivafis.com.br/storage/2020/05/anvisa-logo-300x69.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/05/anvisa-logo-300x69.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:34	13821/13821	---M--	200	added ('OK')	image/png	date:Tue,%2012%20May%202020%2013:35:17%20GMT	https://eletivafis.com.br/storage/2020/05/anti-pirataria-300x28.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/05/anti-pirataria-300x28.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:34	16348/16348	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Feb%202021%2014:10:58%20GMT	https://eletivafis.com.br/storage/2021/02/90-dias2-150x150.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2021/02/90-dias2-150x150.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:34	22338/22338	---M--	200	added ('OK')	image/png	date:Tue,%2012%20May%202020%2015:41:43%20GMT	https://eletivafis.com.br/storage/2020/05/reclame-aqui-smile-150x150.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2020/05/reclame-aqui-smile-150x150.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:34	63633/63633	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Feb%202021%2015:59:35%20GMT	https://eletivafis.com.br/	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/index.html	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:35	445038/445038	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Feb%202021%2013:55:12%20GMT	https://eletivafis.com.br/storage/2021/02/promo.png	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/storage/2021/02/promo.png	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:35	46925/46925	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Feb%202021%2015:59:36%20GMT	https://eletivafis.com.br/contato/	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/contato/index.html	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:36	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Feb%202021%2015:59:37%20GMT	https://eletivafis.com.br/hotgel-funciona	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/hotgel-funciona	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:36	110715/110715	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Feb%202021%2015:59:37%20GMT	https://eletivafis.com.br/sibutramin-funciona/	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/sibutramin-funciona/index.html	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:37	103394/103394	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Feb%202021%2015:59:38%20GMT	https://eletivafis.com.br/hotgel-funciona/	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/hotgel-funciona/index.html	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Feb%202021%2015:59:38%20GMT	https://eletivafis.com.br/libid-gel-funciona	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/libid-gel-funciona	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Feb%202021%2015:59:39%20GMT	https://eletivafis.com.br/pau-de-cavalo-funciona	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/pau-de-cavalo-funciona	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:39	47030/47030	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Dec%202020%2012:22:24%20GMT	https://eletivafis.com.br/core/modules/94970ec5bd/includes/css/shortcodes.css	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/94970ec5bd/includes/css/shortcodes.css	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:39	33935/33935	---M-Z	200	added ('OK')	text/css	date:Fri,%2023%20Oct%202020%2018:45:24%20GMT	https://eletivafis.com.br/core/modules/94970ec5bd/includes/css/icons.css	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/94970ec5bd/includes/css/icons.css	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:39	107227/107227	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Feb%202021%2015:59:39%20GMT	https://eletivafis.com.br/libid-gel-funciona/	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/libid-gel-funciona/index.html	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:39	10594/10594	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2023%20Oct%202020%2018:47:06%20GMT	https://eletivafis.com.br/core/assets/9dbb40d076/assets/js/minified/style.min.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/assets/9dbb40d076/assets/js/minified/style.min.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:39	8459/8459	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2010%20Dec%202020%2018:04:19%20GMT	https://eletivafis.com.br/core/modules/cec2025f55/app/assets/js/smush-lazy-load.min.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/cec2025f55/app/assets/js/smush-lazy-load.min.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:40	4360/4360	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2007%20May%202020%2014:33:01%20GMT	https://eletivafis.com.br/core/modules/4a39435890/js/q2w3-fixed-widget.min.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/4a39435890/js/q2w3-fixed-widget.min.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:40	886/886	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2030%20Sep%202020%2011:43:41%20GMT	https://eletivafis.com.br/core/modules/554ba96ecc/js/auto-link.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/554ba96ecc/js/auto-link.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:40	1434/1434	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2026%20Oct%202019%2008:47:08%20GMT	https://eletivafis.com.br/lib/js/wp-embed.min.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/lib/js/wp-embed.min.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:40	11741/11741	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2023%20Oct%202020%2018:45:24%20GMT	https://eletivafis.com.br/core/modules/94970ec5bd/includes/js/shortcodes/index.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/eletivafis.com.br/core/modules/94970ec5bd/includes/js/shortcodes/index.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
12:59:42	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:W/%22573f4859-14e4a%22	http://code.jquery.com/jquery-2.2.4.min.js	C:/Users/kaioc/Documents/Logos/Pau%20de%20cavalo/code.jquery.com/jquery-2.2.4.min.js	(from https://eletivafis.com.br/super-cavalo-funciona/)
